unique_key,english,english_gb,spanish
dbl-standard-P101,Measuring objects with various standard units,Measuring objects with various standard units,Medición de objetos con diversas unidades estándar
dbl-standard-P66F,Building Bar Graphs,Building Bar Graphs,Construcción de gráficos de barras
dbl-standard-P12B,Adding & Subtracting Groups of Tens,Adding & Subtracting Groups of Tens,Suma y resta de grupos de decenas
dbl-standard-P13B,Addition: Compensation,Addition: Compensation,Suma: Compensación
dbl-standard-P09B,Assessing Equality,Assessing Equality,Valoración de igualdad
dbl-standard-G02,Compare Numbers up to 1000,Compare Numbers up to 1000,Comparar números hasta 1000
dbl-standard-P09C,Compare Numbers up to 500,Compare Numbers up to 500,Comparar números hasta 500
dbl-standard-TUT-2,DreamBox Tools (2),DreamBox Tools (3),Herramientas de DreamBox (2)
dbl-standard-P09A,Finding Equal Expressions,Finding Equal Expressions,Búsqueda de expresiones iguales
dbl-standard-P12A,Finding Groups of Tens,Finding Groups of Tens,Búsqueda de grupos de diez
dbl-standard-P10B,Hundreds Charts to 500,Hundreds Charts to 500,Gráficos de centenas hasta 500
dbl-standard-P10D,Hundreds Charts to 1000,Hundreds Charts to 1000,Gráficos de centenas hasta 1000
dbl-standard-G10,Identify Number Pairs up to 200,Identify Number Pairs up to 200,Identificar pares de números hasta 200
dbl-standard-P12C,Identifying Missing Tens,Identifying Missing Tens,Identificación de decenas faltantes
dbl-standard-P10A,Making Jumps of 10,Making Jumps of 10,Saltos de 10
dbl-standard-P11A,Making Jumps of 3 to 9,Making Jumps of 3 to 9,Saltos de 3 a 9
dbl-standard-P13C,Place Value to 1000,Place Value to 1000,Valor de posición hasta el 1000
dbl-standard-P09D,Place Value to 500,Place Value to 500,Valor de posición hasta el 500
dbl-standard-IA2,Placing Multiples of -10 on a Number Line to -100,Placing Multiples of -10 on a Number Line to -100,Colocación de múltiplos de -10 en una recta numérica hasta -100
dbl-standard-P15A,Subtraction: Constant Difference,Subtraction: Constant Difference,Resta: Diferencia constante
dbl-standard-P13D,Addition: Doubling,Addition: Doubling,Suma: Duplicación
dbl-standard-P90B,"Partitioning with halves, thirds and fourths.","Partitioning with halves, thirds and quarters.","Partición con mitades, tercios y cuartos."
dbl-standard-P92,Partitioning Square Units.,Partitioning Square Units.,Partición de unidades cuadradas.
dbl-standard-P80D,Drawing Shapes,Drawing Shapes,Creación de formas
dbl-standard-P94E,Patterning with Numbers,Patterning with Numbers,Patrones y números
dbl-standard-P64C,Add & Subtract Time,Add & Subtract Time,Sumar y restar tiempo
dbl-standard-P56A,Add and Subtract on the Number Line,Add and Subtract on the Number Line,Sumar y restar en la recta numérica
dbl-standard-TUT-3,DreamBox Tools (3),DreamBox Tools (4),Herramientas de DreamBox (3)
dbl-standard-P28,Early Equivalency I,Early Equivalency I,Equivalencia temprana I
dbl-standard-P57A,Fluency: Addition and Subtraction,Fluency: Addition and Subtraction,Fluidez: Suma y resta
dbl-standard-P27,Fractions on a Number Line,Fractions on a Number Line,Fracciones en una recta numérica
dbl-standard-P31,Fractions: Choose Context,Fractions: Choose Context,Fracciones: Elegir un contexto
dbl-standard-P30,Fractions: Money & Time,Fractions: Money & Time,Fracciones: Dinero y tiempo
dbl-standard-G09,Identify Missing Addends to 1000,Identify Missing Addends to 1000,Identificar sumandos faltantes hasta 1000
dbl-standard-P25,Make & Compare Rods,Make & Compare Rods,Crear y comparar varillas
dbl-standard-P19A,Multiplication: Adding or Removing Groups,Multiplication: Adding or Removing Groups,Multiplicación: Agregar o eliminar grupos
dbl-standard-P17A,Multiplication & Division Situations,Multiplication & Division Situations,Situaciones de multiplicación y división
dbl-standard-P20A,Multiplication: Double & Halve,Multiplication: Double & Halve,Multiplicación: Duplicar y dividir por la mitad
dbl-standard-P18A,Multiplication: Doubling,Multiplication: Doubling,Multiplicación: Duplicación
dbl-standard-P21A,Multiplication: Partial Products,Multiplication: Partial Products,Multiplicación: Productos parciales
dbl-standard-P26,Multiply and Divide: Ratio Table,Multiply and Divide: Ratio Table,Multiplicar y dividir: Tabla de cocientes
dbl-standard-P68A,"Multiply by 0, 1, 5, 10: Automaticity I","Multiply by 0, 1, 5, 10: Fluency I","Multiplicar por 0, 1, 5, 10: Automaticidad I"
dbl-standard-P68B,"Multiply by 0, 1, 5, 10: Automaticity II","Multiply by 0, 1, 5, 10: Fluency II","Multiplicar por 0, 1, 5, 10: Automaticidad II"
dbl-standard-P68C,"Multiply by 2, 4, 8: Automaticity I","Multiply by 2, 4, 8: Fluency I","Multiplicar por 2, 4, 8: Automaticidad I"
dbl-standard-P68D,"Multiply by 2, 4, 8: Automaticity II","Multiply by 2, 4, 8: Fluency II","Multiplicar por 2, 4, 8: Automaticidad II"
dbl-standard-P68E,"Multiply by 3, 6, 12: Automaticity I","Multiply by 3, 6, 12: Fluency I","Multiplicar por 3, 6, 12: Automaticidad I"
dbl-standard-P68F,"Multiply by 3, 6, 12: Automaticity II","Multiply by 3, 6, 12: Fluency II","Multiplicar por 3, 6, 12: Automaticidad II"
dbl-standard-P68I,"Multiply by 5, 15, 25: Automaticity","Multiply by 5, 15, 25: Fluency","Multiplicar por 5, 15, 25: Automaticidad"
dbl-standard-P68J,"Multiply by 7, 14, 15: Automaticity","Multiply by 7, 14, 15: Fluency","Multiplicar por 7, 14, 15: Automaticidad"
dbl-standard-P68G,"Multiply by 9, 10, 11: Automaticity I","Multiply by 9, 10, 11: Fluency I","Multiplicar por 9, 10, 11: Automaticidad I"
dbl-standard-P68H,"Multiply by 9, 10, 11: Automaticity II","Multiply by 9, 10, 11: Fluency II","Multiplicar por 9, 10, 11: Automaticidad II"
dbl-standard-P22A,Partial Products using Arrays,Partial Products using Arrays,Productos parciales usando conjuntos
dbl-standard-P57B,Round & Compare Whole Numbers,Round & Compare Whole Numbers,Redondear y comparar números enteros
dbl-standard-P64A,Using Clocks & Telling Time I,Using Clocks & Telling Time I,Uso de relojes y cómo decir la hora I
dbl-standard-P64B,Using Clocks & Telling Time II,Using Clocks & Telling Time II,Uso de relojes y cómo decir la hora II
dbl-standard-P66A,Categorical Data Graphs,Categorical Data Graphs,Gráficos de datos categóricos
dbl-standard-P66B,Line Plots I,Line Plots I,Gráficos de líneas I
dbl-standard-P54A,Whole Numbers on a Number Line,Whole Numbers on a Number Line,Números enteros en una recta numérica
dbl-standard-P80A,Constructing and Measuring Polygons I,Constructing and Measuring Polygons I,Construcción y medición de polígonos I
dbl-standard-P80A_1,Classifying Geometric Figures,Classifying Geometric Shapes,Clasificación de figuras geométricas
dbl-standard-P80A_2,Classifying Polygons,Classifying Polygons,Clasificación de polígonos
dbl-standard-P90C,Partitioning Shapes,Partitioning Shapes,Partición de formas
dbl-standard-P94F,Patterning with Numbers,Patterning with Numbers,Patrones y números
dbl-standard-P96_1,Area & Perimeter I,Area & Perimeter I,Área y perímetro I
dbl-standard-P97_A_1,Volume,Volume,Volumen
dbl-standard-P97_A_2,Mass,Mass,Masa
dbl-standard-P97_A_3,Mass and Volume,Mass and Volume,Masa y volumen
dbl-standard-P44,Addition Algorithm,Written Method for Addition,Algoritmo de suma
dbl-standard-P65A,Angle Measurement & Rotation,Angle Measurement & Rotation,Medición y rotación de ángulos
dbl-standard-P34,Comparing Fractions 1,Comparing Fractions 1,Comparación de fracciones 1
dbl-standard-P37,Comparing Fractions 2,Comparing Fractions 2,Comparación de fracciones 2
dbl-standard-P46,Composing Arrays to 600,Composing Arrays to 600,Composición de conjuntos hasta 600
dbl-standard-P53,Decimals to the Thousandths Place,Decimals to the Thousandths Place,Decimales hasta el lugar de los miles
dbl-standard-P29,Decomposing Fractions,Decomposing Fractions,Descomposición de fracciones
dbl-standard-P42,Division to 600,Division to 600,División hasta 600
dbl-standard-P64D,Elapsed Time,Elapsed Time,Tiempo transcurrido
dbl-standard-P66C,Line Plots II,Line Plots II,Gráficos de líneas II
dbl-standard-P40,Fraction Multiplication,Fraction Multiplication,Multiplicación de fracciones
dbl-standard-P33,Fractions In The Real World 1,Fractions In The Real World 1,Fracciones en el mundo real 1
dbl-standard-P35,Fractions In The Real World 2,Fractions In The Real World 2,Fracciones en el mundo real 2
dbl-standard-G03,Identifying Common Multiples,Identifying Common Multiples,Identificación de múltiplos comunes
dbl-standard-G04,Identifying Factors,Identifying Factors,Identificación de factores
dbl-standard-G23,Multiplication: Mixed Strategies,Multiplication: Mixed Strategies,Multiplicación: Estrategias mixtas
dbl-standard-P41,"Multiplication to 1,500","Multiplication to 1,500","Multiplicación hasta 1,500"
dbl-standard-P77A,Multiplication with Arrays & Landmarks I,Multiplication with Arrays & Landmarks I,Multiplicación con conjuntos y referencias I
dbl-standard-P77B,Multiplication with Arrays & Landmarks II,Multiplication with Arrays & Landmarks II,Multiplicación con conjuntos y referencias II
dbl-standard-P50,Multiplication with Open Arrays,Multiplication with Open Arrays,Multiplicación con conjuntos abiertos
dbl-standard-P16A,"Place Value to 9,999","Place Value to 9,999","Valor de posición hasta el 9,999"
dbl-standard-P45,Subtraction Algorithm,Written Method for Subtraction,Algoritmo de resta
dbl-standard-P61A,Whole Number Addition Strategies,Whole Number Addition Strategies,Estrategias para sumar números enteros
dbl-standard-P61B,Whole Number Subtraction Strategies,Whole Number Subtraction Strategies,Estrategias para restar números enteros
dbl-standard-P11B,Adding or Subtracting 3 to 9,Adding or Subtracting 3 to 9,Suma o resta del 3 al 9
dbl-standard-P80B,Constructing and Measuring Polygons II,Constructing and Measuring Polygons II,Construcción y medición de polígonos II
dbl-standard-P80B_1,Classifying Geometric Figures in a Hierarchy,Classifying Geometric Shapes in a Hierarchy,Clasificación de figuras geométricas en una jerarquía
dbl-standard-P80B_2,Classifying Polygons in a Hierarchy,Classifying Polygons in a Hierarchy,Clasificación de polígonos en una jerarquía
dbl-standard-P91,Drawing lines of symmetry,Drawing lines of symmetry,Dibujo de líneas de simetría
dbl-standard-P94G,Patterning in Function Tables,Patterning in Function Tables,Patrones en tablas de funciones
dbl-standard-P96_2,Area & Perimeter II,Area & Perimeter II,Área y perímetro II
dbl-standard-P56B,Add and Subtract Decimals,Add and Subtract Decimals,Sumar y restar decimales
dbl-standard-P38,Fraction Addition,Fraction Addition,Suma de fracciones
dbl-standard-P68K,Beyond Times Tables: Automaticity I,Beyond Times Tables: Fluency I,Más allá de tablas de tiempo: Automaticidad I
dbl-standard-P68L,Beyond Times Tables: Automaticity II,Beyond Times Tables: Fluency II,Más allá de tablas de tiempo: Automaticidad II
dbl-standard-P65B,"Compose, Add, & Subtract Angles","Compose, Add, & Subtract Angles","Componer, sumar y restar ángulos"
dbl-standard-P62,Decimal Place Value in Products & Quotients,Decimal Place Value in Products & Quotients,Valor del lugar decimal en productos y cocientes
dbl-standard-P54B,Decimals on a Number Line,Decimals on a Number Line,Decimales en una recta numérica
dbl-standard-P47,"Division to 10,000 with Remainders","Division to 10,000 with Remainders","División hasta 10,000 con recordatorios"
dbl-standard-P55,Equivalent Fractions on a Number Line,Equivalent Fractions on a Number Line,Fracciones equivalentes en una recta numérica
dbl-standard-P32,Equivalent Fractions with Scaling Factors,Equivalent Fractions with Scaling Factors,Fracciones equivalentes con factores de escala
dbl-standard-P49,Estimate & Multiply with the Multiplication Standard Algorithm,Estimate and Multiply with the Written Method for Multiplication,Estimar y multiplicar con el algoritmo estándar de multiplicación
dbl-standard-P57C,Fluency: Fractions & Decimals,Fluency: Fractions & Decimals,Fluidez: Fracciones y decimales
dbl-standard-P52,Fraction Division I,Fraction Division I,División de fracciones I
dbl-standard-P51,Fraction Multiplication II,Fraction Multiplication II,Multiplicación de fracciones II
dbl-standard-P43,"Multiplication to 100,000","Multiplication to 100,000","Multiplicación hasta 100,000"
dbl-standard-P60,Multiply and Divide with Decimals,Multiply and Divide with Decimals,Multiplicar y dividir con decimales
dbl-standard-P58A,Multiplying Decimals with Arrays,Multiplying Decimals with Arrays,Multiplicación de decimales con conjuntos
dbl-standard-P75A,Operations Fluency 1,Operations Fluency 1,Fluidez con operaciones 1
dbl-standard-P75C,Operations Fluency 2: Parentheses,Operations Fluency 2: Brackets,Fluidez con operaciones 2: Paréntesis
dbl-standard-P73A,Order of Operations 1,Order of Operations 1,Orden de operaciones 1
dbl-standard-P73D,Order of Operations 2: Parentheses,Order of Operations 2: Brackets,Orden de operaciones 2: Paréntesis
dbl-standard-P78A,Variable Expressions,Variable Expressions,Expresiones variables
dbl-standard-P98_A,Measuring and Solving for Volume,Measuring and Solving for Volume,Medición y resolución del volumen
dbl-standard-P98_B,Solving for the Volume of Prisms,Solving for the Volume of Prisms,Resolución del volumen de prismas
dbl-standard-P97_B,Problem Solving with Volume,Problem Solving with Volume,Resolución de problemas con volumen
dbl-standard-P82,Rounding Rational Numbers,Rounding Rational Numbers,Redondeo de números racionales
dbl-standard-P57D,Round & Compare Fractions & Decimals,Round & Compare Fractions & Decimals,Redondear y comparar fracciones y decimales
dbl-standard-P39,Subtract Fractions,Subtract Fractions,Restar fracciones
dbl-standard-P93,Add and Subtract Fractions with Unlike Denominators,Add and Subtract Fractions with Unlike Denominators,Sumar y restar fracciones con denominadores distintos
dbl-standard-P95,Translating Expressions,Translating Expressions,Traduciendo expresiones
dbl-standard-P56C,Add and Subtract Integers,Add and Subtract Integers,Sumar y restar enteros
dbl-standard-P56D,Add and Subtract Negative Decimals,Add and Subtract Negative Decimals,Sumar y restar decimales negativos
dbl-standard-P71A,Adding Integers,Adding Integers,Suma de enteros
dbl-standard-P65C,Advanced Angle Relationships,Advanced Angle Relationships,Relaciones de ángulos avanzadas
dbl-standard-P59,Calculating Percentages,Calculating Percentages,Cálculo de porcentajes
dbl-standard-P72B,Coordinate Grids: Lines of Symmetry,Coordinate Grids: Lines of Symmetry,Cuadrículas de coordenadas: Líneas de simetría
dbl-standard-P72A,Coordinate Grids: Location and Measurement,Coordinate Grids: Location and Measurement,Cuadrículas de coordenadas: Ubicación y medición
dbl-standard-P72G,Coordinate Grids: Plotting Patterns,Coordinate Grids: Plotting Patterns,Cuadrículas de coordenadas: Patrones de trazado
dbl-standard-P61C,Decimal Addition Strategies,Decimal Addition Strategies,Estrategias de suma de decimales
dbl-standard-P61D,Decimal Subtraction Strategies,Decimal Subtraction Strategies,Estrategias de resta de decimales
dbl-standard-P63A,Division Standard Algorithm,Written Method for Division,Algoritmo estándar de división
dbl-standard-P63B,Division Standard Algorithm: Decimals,Written Method for Division: Decimals,Algoritmo estándar de división: Decimales
dbl-standard-P57E,Fluency: Integer Sums,Fluency: Integer Sums,Fluidez: Sumas de enteros
dbl-standard-P57G,Fluency: Rational Numbers,Fluency: Rational Numbers,Fluidez: Números racionales
dbl-standard-P72D,"Graphs, Tables, and Lines","Graphs, Tables, and Lines","Gráficos, tablas y líneas"
dbl-standard-P71E,Integers and Inequalities,Integers and Inequalities,Enteros y desigualdades
dbl-standard-P75B,Operations Fluency 3: Exponents,Operations Fluency 3: Indices,Fluidez con operaciones 3: Exponentes
dbl-standard-P75D,Operations Fluency 4,Operations Fluency 4,Fluidez con operaciones 4
dbl-standard-P73B,Order of Operations 3: Exponents,Order of Operations 3: Indices,Orden de operaciones 3: Exponentes
dbl-standard-P67B,Ratios & Division with Fractions,Ratios & Division with Fractions,Cocientes y división con fracciones
dbl-standard-P67A,Ratios in Context: Measurement,Ratios in Context: Measurement,Cocientes en contexto: Medida
dbl-standard-P67C,Ratios & Multiplication,Ratios & Multiplication,Cocientes y multiplicación
dbl-standard-P57F,Round and Compare Integers,Round and Compare Integers,Redondear y comparar enteros
dbl-standard-P57H,Round and Compare Rational Numbers,Round and Compare Rational Numbers,Redondear y comparar números racionales
dbl-standard-P71B,Subtracting Integers,Subtracting Integers,Resta de enteros
dbl-standard-P74A,The Coordinate Plane with Decimals 1,The Coordinate Plane with Decimals 1,El plano de coordenadas con decimales 1
dbl-standard-P58B,The Distributive Property with Variables,The Distributive Property with Variables,La propiedad distributiva con variables
dbl-standard-P71F,Absolute Value,Absolute Value,Valor absoluto
dbl-standard-P68M,Add & Subtract Integers: Automaticity I,Add & Subtract Integers: Fluency I,Sumar y restar enteros: Automaticidad I
dbl-standard-P68N,Add & Subtract Integers: Automaticity II,Add & Subtract Integers: Fluency II,Sumar y restar enteros: Automaticidad II
dbl-standard-P80C,Constructing and Measuring Polygons III,Constructing and Measuring Polygons III,Construcción y medición de polígonos III
dbl-standard-P71D,Dividing Integers,Dividing Integers,División de enteros
dbl-standard-P75E,Identifying Variables,Identifying Variables,Identificación de variables
dbl-standard-P73C,Integer Operations 1,Integer Operations 1,Operaciones con enteros 1
dbl-standard-P73E,Integer Operations 2,Integer Operations 2,Operaciones con enteros 2
dbl-standard-P78B,Variable Expressions Involving Integers,Variable Expressions Involving Integers,Expresiones variables con enteros
dbl-standard-P78D,Variable Expressions with Distribution,Variable Expressions with Distribution,Expresiones variables con distribución
dbl-standard-P68O,Multiply & Divide Integers: Automaticity I,Multiply & Divide Integers: Fluency I,Multiplicar y dividir enteros: Automaticidad I
dbl-standard-P68P,Multiply & Divide Integers: Automaticity II,Multiply & Divide Integers: Fluency II,Multiplicar y dividir enteros: Automaticidad II
dbl-standard-P71C,Multiplying Integers,Multiplying Integers,Multiplicación de enteros
dbl-standard-P75F,Scaling by Powers of Ten,Scaling by Powers of Ten,Escalas a la potencia de diez
dbl-standard-P74B,The Coordinate Plane with Decimals 2,The Coordinate Plane with Decimals 2,El plano de coordenadas con decimales 2
dbl-standard-P74D,Applying Linear Rate of Change,Applying Linear Rate of Change,Aplicación de la tasa de cambio lineal
dbl-standard-P72C,Coordinate Grids: Lines of Reflection,Coordinate Grids: Lines of Reflection,Cuadrículas de coordenadas: Líneas de reflexión
dbl-standard-P72F,"Equations, Graphs, and Lines","Equations, Graphs, and Lines","Ecuaciones, gráficos y líneas"
dbl-standard-P72E,"Equations, Tables, and Lines","Equations, Tables, and Lines","Ecuaciones, tablas y líneas"
dbl-standard-P74C,Linear & Local Rate of Change,Linear & Local Rate of Change,Tasa de cambio lineal y local
dbl-standard-P76A,Linear Graphs and Functions,Straight-line graphs and Functions,Gráficos y funciones lineales
dbl-standard-P74F,Linear Intersections & Intercepts,Linear Intersections & Intercepts,Intersecciones lineales
dbl-standard-P77C,Quadratic Expressions & Arrays I,Quadratic Expressions & Arrays I,Expresiones y conjuntos cuadráticos I
dbl-standard-P77D,Quadratic Expressions & Arrays II,Quadratic Expressions & Arrays II,Expresiones y conjuntos cuadráticos II
dbl-standard-P75G,Scientific Notation,Standard form,Notación científica
dbl-standard-P78E,Variable Expressions Involving Exponents,Variable Expressions Involving Indices,Expresiones variables con exponentes
dbl-standard-P74E,The Pythagorean Theorem,The Pythagorean Theorem,El teorema de Pitágoras
dbl-standard-P81A,Transformations on a Coordinate Plane,Transformations on a Coordinate Plane,Transformaciones en un plano de coordenadas
dbl-standard-P77E,Factoring & Expanding Quadratics,Factorising & Expanding Quadratics,Factorización y expansión cuadráticas
dbl-standard-P76C,Fourth and Fifth Degree Functions,Fourth and Fifth Degree Functions,Funciones de cuarto y quinto grado
dbl-standard-P77F,Multi-Variable Expressions & Arrays,Multi-Variable Expressions & Arrays,Expresiones y conjuntos con múltiples variables
dbl-standard-P74G,Non-Linear Intercepts & Extremes,Non-Linear Intercepts & Extremes,Intersecciones y extremos no lineales
dbl-standard-P76B,Quadratic and Cubic Functions,Quadratic and Cubic Functions,Funciones cuadráticas y cúbicas
dbl-standard-P103,Matching Expressions to Visuals,Matching Expressions to Visuals,Coincidencia de expresiones y visuales
dbl-standard-P104A,"Complementary, Supplementary, Vertical Angles","Complementary, Supplementary, Vertical Angles",Relaciones entre ángulos
dbl-standard-P104B,Parallels and Triangles,Parallels and Triangles,Paralelos y triángulos
dbl-standard-P105,Radicals,Radicals,Radicales
dbl-standard-P106,Rules of Exponents,Rules of Indices,Reglas de los exponentes
dbl-standard-P107A,Rewriting Expressions 1,Rewriting Expressions 1,Reescribir expresiones 1
dbl-standard-P107B,Rewriting Expressions 2,Rewriting Expressions 2,Reescribir expresiones 2
dbl-standard-P107C,Rewriting Expressions 3,Rewriting Expressions 3,Reescribir expresiones 3
dbl-standard-P107D,Rewriting Expressions 4,Rewriting Expressions 4,Reescribir expresiones 4
dbl-standard-P107E,Rewriting Expressions 5,Rewriting Expressions 5,Reescribir expresiones 5
dbl-standard-P108,Analyzing Variables,Analysing Variables,Análisis de variables
dbl-standard-P109A,One-Step Equations & Inequalities,One-Step Equations & Inequalities,Ecuaciones y desigualdades de un paso
dbl-standard-P109B,Two-Step Equations & Inequalities,Two-Step Equations & Inequalities,Ecuaciones de dos pasos y desigualdades
dbl-standard-P109C,Multi-Step Equations & Inequalities,Multi-Step Equations & Inequalities,Ecuaciones y desigualdades de varios pasos
dbl-standard-P110,Approximating Irrationals,Approximating Irrationals,Aproximación de irracionales
dbl-standard-P111A,Representing 3D Solids with Nets,Representing 3D Solids with Nets,Representación de sólidos 3D con redes
dbl-standard-P111B,Identifying the Cross Section of a 3D Solid,Identifying the Cross Section of a 3D Solid,Identificación de la sección transversal de un sólido 3D
dbl-standard-P112,Ordering Objects by Height,Ordering Objects by Height,Ordenamiento de objetos por altura
dbl-standard-P113A,Identifying Shapes,Identifying Shapes,Identificación de formas
dbl-standard-P113B,Identifying Coins,Identifying Coins,Identificación de monedas
dbl-standard-P114A,Area of Polygons,Area of Polygons,Área de polígonos
dbl-standard-P114B,Area and Circumference of Circles,Area and Circumference of Circles,Área y circunferencia de círculos
dbl-standard-P115A,Volume and Surface Area of Rectangular Prisms,Volume and Surface Area of Cuboids,Volumen y área de superficie de prismas rectangulares
dbl-standard-P115B,Volume and Surface Area of Prisms and Pyramids,Volume and Surface Area of Prisms and Pyramids,Volumen y área de superficie de prismas y pirámides
dbl-standard-P115C,"Volume and Surface Area of Cylinders, Cones, and Spheres","Volume and Surface Area of Cylinders, Cones, and Spheres","Volumen y área de superficie de cilindros, conos y esferas"
dbl-standard-P116A,Identifying Numbers as Even or Odd,Identifying Numbers as Even or Odd,Identificar números como pares o impares
dbl-standard-P116B,Identifying Three-Digit Numbers as Even or Odd,Identifying Three-Digit Numbers as Even or Odd,Identificar números de tres dígitos como pares o impares
dbl-standard-P117,Ordering Objects by Length,Ordering Objects by Length,Ordenando objetos por longitud
dbl-standard-P118,Calculating Statistics on Line Plots,Calculating Statistics on Line Plots,Calculando estadísticas en gráficas de línea
dbl-standard-P119A,Visualizing 2D Composite Shapes,Visualizing 2D Compound Shapes,Visualizando formas compuestas 2D
dbl-standard-P119B,Visualizing 2D and 3D Composite Shapes,Visualizing 2D and 3D Compound Shapes,Visualizando formas compuestas 2D y 3D
dbl-standard-P120,Matching Coins and Bills to Amounts of Money,Matching Coins and Notes to Amounts of Money,Emparejando monedas y billetes con cantidades de dinero
dbl-standard-P121,Naming the Position of Objects,Naming the Position of Objects,Nombrando la posición de objetos
dbl-standard-P122A,Add and Subtract With Word Problems 1,Add and Subtract With Word Problems 1,Sumar y restar con problemas de palabras 1
dbl-standard-P122B,Add and Subtract With Word Problems 2,Add and Subtract With Word Problems 2,Sumar y restar con problemas de palabras 2
dbl-standard-P122C,Add and Subtract With Word Problems 3,Add and Subtract With Word Problems 3,Sumar y restar con problemas de palabras 3
dbl-standard-P122D,Add and Subtract With Word Problems 1,Add and Subtract With Word Problems 1,Sumar y restar con problemas de palabras 1
dbl-standard-P122E,Add and Subtract With Word Problems 2,Add and Subtract With Word Problems 2,Sumar y restar con problemas de palabras 2
dbl-standard-P122F,Add and Subtract With Word Problems 3,Add and Subtract With Word Problems 3,Sumar y restar con problemas de palabras 3
dbl-standard-P80O,Constructing Simple Polygons,Constructing Simple Polygons,Construyendo polígonos simples
dbl-standard-P80P,Classifying Shapes,Classifying Shapes,Clasificación formas
dbl-standard-P123,Identifying Multiples,Identifying Multiples,Identificar múltiplos
dbl-standard-P124,"Identifying Numbers as Prime, Composite, or Neither","Identifying Numbers as Prime, Composite, or Neither","Identificar números como primos, compuestos o ninguno de los dos"
