signature,language,script,files,condition
myStuffStatsScreen,spanish,EstadÃ­sticas. Es posible que se necesite la ayuda del profesor.,,
myStuffCollectionsButton,english,Collections. Minigames is unavailable at this time. Navigate to another place or return to lessons.,,
myStuffCollectionsButton,spanish,Colecciones. Los minijuegos no estan disponibles en este momento. Navega hacia otro lugar o regresa a las lecciones.,,
myStuffCollectionsScreen,english,Collections. Minigames is unavailable at this time. Navigate to another place or return to lessons.,,
myStuffCollectionsScreen,spanish,Colecciones. Los minijuegos no estan disponibles en este momento. Navega hacia otro lugar o regresa a las lecciones.,,
myStuffPersonalizationButton,english,Personalization. Teacher assistance may be needed.,,
myStuffPersonalizationButton,spanish,PersonalizaciÃ³n. Es posible que se necesite la ayuda del profesor.,,
myStuffPersonalizationScreen,english,Personalization. Teacher assistance may be needed.,,
myStuffPersonalizationScreen,spanish,PersonalizaciÃ³n. Es posible que se necesite la ayuda del profesor.,,
lessonBannerExitButton,english,Back to My Lessons.,,
lessonBannerExitButton,spanish,De vuelta a Mis lecciones.,,
visualBiasWarning,english,The lesson has a visual bias content. Teacher assistance may be needed.,,
visualBiasWarning,spanish,Esta lecciÃ³n tiene contenido con sesgo visual. Es posible que se necesite la ayuda del profesor.,,
shellKeyboardInfo,english,Keyboard info,,,
shellKeyboardInfo,spanish,InformaciÃ³n sobre el teclado,,,
shellKeyboardInfoClose,english,"Use space bar or enter to interact with something. Use tab or shift + tab to move around the screen. Use left arrow key, up arrow key, right arrow key and down arrow key to move inside a group. Use escape to exit an action. Use delete to remove an object. Press enter to continue.",,,
shellKeyboardInfoClose,spanish,"Usa la barra espaciadora o Enter para interactuar con algo. Usa Tab o Shift + Tab para moverte por la pantalla. Usa la flecha izquierda, flecha arriba, flecha derecha y flecha abajo para moverte dentro de un grupo. Usa Escape para salir de una acciÃ³n. Usa Suprimir para eliminar un objeto. Presiona Enter para continuar.",,,
